1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         174.86          ---          ---      3.16000       181.75
Gets         174.86       174.51         0.35      2.54000       183.34
Waits          0.00          ---          ---      0.00000          ---
Totals       349.72       174.51         0.35      2.85000       365.09


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.13
SET       2.100         1.14
SET       2.200         4.39
SET       2.300        10.06
SET       2.400        17.35
SET       2.500        24.93
SET       2.600        32.63
SET       2.700        40.13
SET       2.800        47.03
SET       2.900        53.00
SET       3.000        58.84
SET       3.100        63.99
SET       3.200        68.82
SET       3.300        73.08
SET       3.400        76.37
SET       3.500        79.64
SET       3.600        82.45
SET       3.700        84.70
SET       3.800        86.76
SET       3.900        88.52
SET       4.000        89.91
SET       4.100        91.25
SET       4.200        92.31
SET       4.300        93.19
SET       4.400        93.89
SET       4.500        94.60
SET       4.600        95.22
SET       4.700        95.55
SET       4.800        95.96
SET       4.900        96.31
SET       5.000        96.58
SET       5.100        96.90
SET       5.200        97.08
SET       5.300        97.21
SET       5.400        97.46
SET       5.500        97.65
SET       5.600        97.80
SET       5.700        97.90
SET       5.800        98.09
SET       5.900        98.22
SET       6.000        98.28
SET       6.100        98.34
SET       6.200        98.40
SET       6.300        98.44
SET       6.400        98.50
SET       6.500        98.59
SET       6.600        98.67
SET       6.700        98.70
SET       6.800        98.76
SET       6.900        98.85
SET       7.000        98.89
SET       7.100        98.94
SET       7.200        98.97
SET       7.300        99.03
SET       7.400        99.09
SET       7.500        99.10
SET       7.600        99.13
SET       7.700        99.15
SET       7.800        99.17
SET       7.900        99.21
SET       8.000        99.25
SET       8.100        99.28
SET       8.300        99.29
SET       8.400        99.31
SET       8.500        99.33
SET       8.600        99.35
SET       8.700        99.39
SET       8.800        99.42
SET       8.900        99.45
SET       9.000        99.47
SET       9.100        99.49
SET       9.300        99.49
SET       9.500        99.51
SET       9.700        99.52
SET       9.800        99.55
SET       9.900        99.56
SET      10.000        99.64
SET      11.000        99.70
SET      12.000        99.73
SET      13.000        99.76
SET      14.000        99.78
SET      15.000        99.81
SET      17.000        99.84
SET      18.000        99.88
SET      19.000        99.89
SET      21.000        99.90
SET      23.000        99.90
SET      24.000        99.91
SET      25.000        99.92
SET      28.000        99.94
SET      29.000        99.95
SET      31.000        99.96
SET      34.000        99.97
SET      35.000        99.98
SET      37.000        99.99
SET      38.000       100.00
---
GET       0.440         0.01
GET       0.460         0.02
GET       0.470         0.03
GET       0.480         0.04
GET       0.490         0.06
GET       0.500         0.08
GET       0.510         0.10
GET       0.520         0.12
GET       0.530         0.16
GET       0.540         0.18
GET       0.550         0.21
GET       0.560         0.29
GET       0.570         0.34
GET       0.580         0.40
GET       0.590         0.45
GET       0.600         0.51
GET       0.610         0.58
GET       0.620         0.63
GET       0.630         0.68
GET       0.640         0.74
GET       0.650         0.76
GET       0.660         0.85
GET       0.670         0.92
GET       0.680         1.00
GET       0.690         1.17
GET       0.700         1.24
GET       0.710         1.36
GET       0.720         1.53
GET       0.730         1.64
GET       0.740         1.73
GET       0.750         1.87
GET       0.760         2.00
GET       0.770         2.13
GET       0.780         2.23
