1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         141.68          ---          ---      4.40800       147.27
Gets         141.68       141.26         0.42      2.63000       148.41
Waits          0.00          ---          ---      0.00000          ---
Totals       283.36       141.26         0.42      3.51900       295.68


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.500         0.05
SET       3.600         0.84
SET       3.700         4.65
SET       3.800        12.81
SET       3.900        23.88
SET       4.000        36.75
SET       4.100        48.06
SET       4.200        57.98
SET       4.300        65.93
SET       4.400        72.72
SET       4.500        77.67
SET       4.600        82.28
SET       4.700        85.38
SET       4.800        87.86
SET       4.900        89.99
SET       5.000        91.42
SET       5.100        92.58
SET       5.200        93.34
SET       5.300        94.06
SET       5.400        94.68
SET       5.500        95.20
SET       5.600        95.67
SET       5.700        95.81
SET       5.800        96.05
SET       5.900        96.32
SET       6.000        96.62
SET       6.100        96.84
SET       6.200        96.94
SET       6.300        97.12
SET       6.400        97.20
SET       6.500        97.29
SET       6.600        97.44
SET       6.700        97.58
SET       6.800        97.69
SET       6.900        97.80
SET       7.000        97.93
SET       7.100        98.00
SET       7.200        98.08
SET       7.300        98.15
SET       7.400        98.21
SET       7.500        98.26
SET       7.600        98.31
SET       7.700        98.41
SET       7.800        98.48
SET       7.900        98.54
SET       8.000        98.61
SET       8.100        98.65
SET       8.200        98.68
SET       8.300        98.69
SET       8.400        98.74
SET       8.500        98.78
SET       8.600        98.80
SET       8.700        98.92
SET       8.800        98.94
SET       8.900        99.05
SET       9.000        99.08
SET       9.100        99.09
SET       9.200        99.15
SET       9.300        99.18
SET       9.400        99.20
SET       9.500        99.21
SET       9.600        99.22
SET       9.700        99.25
SET       9.800        99.31
SET       9.900        99.32
SET      10.000        99.45
SET      11.000        99.61
SET      12.000        99.64
SET      13.000        99.71
SET      14.000        99.75
SET      15.000        99.79
SET      16.000        99.80
SET      17.000        99.84
SET      18.000        99.85
SET      21.000        99.86
SET      22.000        99.91
SET      23.000        99.92
SET      24.000        99.93
SET      25.000        99.94
SET      26.000        99.96
SET      32.000        99.99
SET      35.000       100.00
---
GET       1.700         0.26
GET       1.800         2.59
GET       1.900         8.61
GET       2.000        17.60
GET       2.100        28.46
GET       2.200        38.68
GET       2.300        48.15
GET       2.400        55.83
GET       2.500        62.12
GET       2.600        67.62
GET       2.700        72.42
GET       2.800        75.81
GET       2.900        78.96
GET       3.000        81.76
GET       3.100        83.66
GET       3.200        84.94
GET       3.300        86.10
GET       3.400        86.87
GET       3.500        87.62
GET       3.600        88.35
GET       3.700        89.31
GET       3.800        90.53
GET       3.900        91.84
GET       4.000        93.13
GET       4.100        94.32
GET       4.200        95.11
GET       4.300        95.89
GET       4.400        96.44
GET       4.500        97.05
GET       4.600        97.39
GET       4.700        97.81
GET       4.800        98.06
GET       4.900        98.39
GET       5.000        98.67
GET       5.100        98.74
GET       5.200        98.81
GET       5.300        98.99
GET       5.400        99.09
GET       5.500        99.13
GET       5.600        99.22
GET       5.700        99.29
GET       5.800        99.33
GET       5.900        99.39
GET       6.000        99.46
GET       6.100        99.51
GET       6.200        99.53
GET       6.300        99.58
GET       6.400        99.61
GET       6.500        99.65
GET       6.600        99.67
