1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         180.85          ---          ---      3.06000       187.98
Gets         180.83       180.37         0.47      2.44900       189.49
Waits          0.00          ---          ---      0.00000          ---
Totals       361.68       180.37         0.47      2.75500       377.48


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.13
SET       2.100         1.45
SET       2.200         5.71
SET       2.300        12.40
SET       2.400        20.79
SET       2.500        29.48
SET       2.600        37.86
SET       2.700        45.89
SET       2.800        52.93
SET       2.900        59.08
SET       3.000        65.27
SET       3.100        70.62
SET       3.200        74.88
SET       3.300        78.48
SET       3.400        81.40
SET       3.500        83.92
SET       3.600        86.05
SET       3.700        87.93
SET       3.800        89.51
SET       3.900        91.05
SET       4.000        92.49
SET       4.100        93.52
SET       4.200        94.18
SET       4.300        94.77
SET       4.400        95.40
SET       4.500        95.90
SET       4.600        96.26
SET       4.700        96.53
SET       4.800        96.82
SET       4.900        97.05
SET       5.000        97.24
SET       5.100        97.52
SET       5.200        97.71
SET       5.300        97.83
SET       5.400        97.97
SET       5.500        98.08
SET       5.600        98.13
SET       5.700        98.21
SET       5.800        98.30
SET       5.900        98.41
SET       6.000        98.51
SET       6.100        98.59
SET       6.200        98.67
SET       6.300        98.75
SET       6.400        98.78
SET       6.500        98.82
SET       6.600        98.84
SET       6.700        98.88
SET       6.800        98.93
SET       6.900        98.95
SET       7.000        98.99
SET       7.100        99.00
SET       7.200        99.04
SET       7.300        99.06
SET       7.400        99.10
SET       7.500        99.12
SET       7.600        99.13
SET       7.700        99.15
SET       7.800        99.16
SET       7.900        99.19
SET       8.000        99.24
SET       8.100        99.24
SET       8.200        99.28
SET       8.300        99.29
SET       8.400        99.33
SET       8.500        99.35
SET       8.600        99.36
SET       8.700        99.38
SET       8.800        99.41
SET       8.900        99.42
SET       9.000        99.44
SET       9.100        99.45
SET       9.200        99.47
SET       9.300        99.48
SET       9.400        99.53
SET       9.500        99.54
SET       9.600        99.55
SET       9.700        99.56
SET       9.900        99.57
SET      10.000        99.62
SET      11.000        99.70
SET      12.000        99.71
SET      13.000        99.74
SET      14.000        99.80
SET      15.000        99.82
SET      16.000        99.83
SET      18.000        99.86
SET      19.000        99.87
SET      21.000        99.90
SET      22.000        99.92
SET      23.000        99.94
SET      27.000        99.95
SET      34.000        99.96
SET      37.000        99.98
SET      45.000        99.99
SET      62.000       100.00
---
GET       0.400         0.01
GET       0.430         0.02
GET       0.440         0.04
GET       0.460         0.05
GET       0.470         0.06
GET       0.480         0.09
GET       0.490         0.13
GET       0.500         0.16
GET       0.510         0.21
GET       0.520         0.27
GET       0.530         0.34
GET       0.540         0.42
GET       0.550         0.50
GET       0.560         0.58
GET       0.570         0.68
GET       0.580         0.79
GET       0.590         0.88
GET       0.600         1.01
GET       0.610         1.10
GET       0.620         1.17
GET       0.630         1.27
GET       0.640         1.35
GET       0.650         1.47
GET       0.660         1.58
GET       0.670         1.69
GET       0.680         1.82
GET       0.690         1.98
GET       0.700         2.11
GET       0.710         2.19
GET       0.720         2.29
GET       0.730         2.42
GET       0.740         2.61
GET       0.750         2.77
GET       0.760         2.98
