1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         140.37          ---          ---      4.44600       145.91
Gets         140.36       140.06         0.30      2.65900       147.15
Waits          0.00          ---          ---      0.00000          ---
Totals       280.73       140.06         0.30      3.55300       293.06


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.500         0.06
SET       3.600         1.01
SET       3.700         4.58
SET       3.800        11.24
SET       3.900        21.41
SET       4.000        33.05
SET       4.100        44.01
SET       4.200        54.07
SET       4.300        62.42
SET       4.400        69.63
SET       4.500        75.39
SET       4.600        79.85
SET       4.700        83.24
SET       4.800        85.94
SET       4.900        88.31
SET       5.000        90.42
SET       5.100        91.76
SET       5.200        92.92
SET       5.300        93.73
SET       5.400        94.40
SET       5.500        94.92
SET       5.600        95.32
SET       5.700        95.73
SET       5.800        95.98
SET       5.900        96.36
SET       6.000        96.63
SET       6.100        96.83
SET       6.200        97.03
SET       6.300        97.20
SET       6.400        97.35
SET       6.500        97.51
SET       6.600        97.54
SET       6.700        97.59
SET       6.800        97.82
SET       6.900        97.97
SET       7.000        98.09
SET       7.100        98.16
SET       7.200        98.25
SET       7.300        98.37
SET       7.400        98.42
SET       7.500        98.53
SET       7.600        98.54
SET       7.700        98.60
SET       7.800        98.62
SET       7.900        98.67
SET       8.000        98.72
SET       8.100        98.77
SET       8.200        98.82
SET       8.300        98.88
SET       8.400        98.96
SET       8.500        99.00
SET       8.600        99.04
SET       8.700        99.06
SET       8.800        99.11
SET       8.900        99.18
SET       9.000        99.22
SET       9.100        99.24
SET       9.300        99.25
SET       9.400        99.26
SET       9.500        99.30
SET       9.600        99.32
SET       9.700        99.36
SET       9.800        99.37
SET       9.900        99.42
SET      10.000        99.48
SET      11.000        99.58
SET      12.000        99.64
SET      13.000        99.70
SET      14.000        99.73
SET      15.000        99.75
SET      16.000        99.76
SET      17.000        99.81
SET      18.000        99.83
SET      19.000        99.87
SET      23.000        99.88
SET      27.000        99.89
SET      28.000        99.91
SET      30.000        99.93
SET      31.000        99.94
SET      32.000        99.98
SET      40.000        99.99
SET      42.000       100.00
---
GET       1.700         0.17
GET       1.800         2.32
