1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         178.11          ---          ---      3.08100       185.14
Gets         178.11       177.76         0.35      2.51500       186.76
Waits          0.00          ---          ---      0.00000          ---
Totals       356.22       177.76         0.35      2.79800       371.89


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.13
SET       2.100         1.09
SET       2.200         4.37
SET       2.300        10.56
SET       2.400        19.00
SET       2.500        28.20
SET       2.600        37.15
SET       2.700        44.73
SET       2.800        51.97
SET       2.900        58.19
SET       3.000        64.34
SET       3.100        69.51
SET       3.200        74.12
SET       3.300        77.51
SET       3.400        80.48
SET       3.500        83.13
SET       3.600        85.50
SET       3.700        87.42
SET       3.800        89.02
SET       3.900        90.52
SET       4.000        91.87
SET       4.100        92.74
SET       4.200        93.46
SET       4.300        94.14
SET       4.400        94.64
SET       4.500        95.16
SET       4.600        95.62
SET       4.700        96.00
SET       4.800        96.26
SET       4.900        96.54
SET       5.000        96.83
SET       5.100        97.03
SET       5.200        97.23
SET       5.300        97.44
SET       5.400        97.55
SET       5.500        97.69
SET       5.600        97.81
SET       5.700        97.91
SET       5.800        98.01
SET       5.900        98.08
SET       6.000        98.19
SET       6.100        98.26
SET       6.200        98.33
SET       6.300        98.47
SET       6.400        98.59
SET       6.500        98.66
SET       6.600        98.72
SET       6.700        98.80
SET       6.800        98.84
SET       6.900        98.89
SET       7.000        98.95
SET       7.100        98.98
SET       7.200        99.01
SET       7.300        99.06
SET       7.400        99.11
SET       7.500        99.12
SET       7.600        99.14
SET       7.700        99.18
SET       7.800        99.20
SET       7.900        99.22
SET       8.000        99.25
SET       8.200        99.28
SET       8.300        99.32
SET       8.400        99.35
SET       8.600        99.38
SET       8.700        99.40
SET       8.800        99.42
SET       8.900        99.44
SET       9.000        99.49
SET       9.100        99.52
SET       9.200        99.56
SET       9.300        99.60
SET       9.400        99.63
SET       9.500        99.64
SET       9.800        99.66
SET       9.900        99.68
SET      10.000        99.72
SET      11.000        99.76
SET      12.000        99.80
SET      13.000        99.82
SET      14.000        99.83
SET      15.000        99.84
SET      16.000        99.88
SET      17.000        99.89
SET      20.000        99.91
SET      23.000        99.92
SET      26.000        99.93
SET      27.000        99.94
SET      30.000        99.95
SET      32.000        99.97
SET      34.000        99.98
SET      35.000        99.99
SET      39.000       100.00
---
GET       0.440         0.01
GET       0.450         0.02
GET       0.470         0.04
GET       0.480         0.05
GET       0.490         0.06
GET       0.500         0.07
GET       0.510         0.12
GET       0.520         0.13
GET       0.530         0.15
GET       0.540         0.17
GET       0.550         0.23
GET       0.560         0.25
GET       0.570         0.30
GET       0.580         0.33
GET       0.590         0.36
GET       0.600         0.45
GET       0.610         0.51
GET       0.620         0.57
GET       0.630         0.66
GET       0.640         0.75
GET       0.650         0.81
GET       0.660         0.86
GET       0.670         0.95
GET       0.680         1.02
GET       0.690         1.12
GET       0.700         1.25
GET       0.710         1.37
GET       0.720         1.48
GET       0.730         1.55
GET       0.740         1.64
GET       0.750         1.78
GET       0.760         1.97
GET       0.770         2.18
GET       0.780         2.27
GET       0.790         2.38
GET       0.800         2.50
GET       0.810         2.59
